"filename", "language", "C#", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\Acting\if_target_approach.cs", "C#", 18, 0, 0, 0, 5, 23
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\ActorAuthor.cs", "C#", 46, 0, 0, 1, 14, 61
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\ActorAuthorModule.cs", "C#", 9, 0, 0, 0, 1, 10
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\BehaviorExtAuthor1.cs", "C#", 13, 0, 0, 0, 3, 16
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\BehaviorExtAuthor2.cs", "C#", 18, 0, 0, 0, 6, 24
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\Inv0Author.cs", "C#", 18, 0, 0, 0, 4, 22
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\SkillsAuthor.cs", "C#", 19, 0, 0, 0, 4, 23
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\Target\lock_target.cs", "C#", 22, 0, 0, 0, 5, 27
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\actor.cs", "C#", 37, 0, 0, 0, 6, 43
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\actor_sfx.cs", "C#", 21, 0, 0, 0, 6, 27
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\behavior.cs", "C#", 22, 0, 0, 0, 5, 27
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\health.cs", "C#", 67, 0, 0, 0, 13, 80
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\hud_pos.cs", "C#", 15, 0, 0, 0, 2, 17
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Actor\warrior.cs", "C#", 77, 0, 0, 1, 20, 98
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Faniry\red_bloom.cs", "C#", 85, 0, 0, 0, 30, 115
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Head AI\face_idle.cs", "C#", 39, 0, 0, 0, 15, 54
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\MechaSkinWriter.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\S1.cs", "C#", 44, 0, 0, 0, 17, 61
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\acting\S1.cs", "C#", 17, 0, 0, 0, 2, 19
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\acting\aim.cs", "C#", 66, 0, 0, 0, 15, 81
"c:\Users\pixel\Desktop\Triheroes Mighty\TriheroesMighty\Assets\Code\Content\Mecha\acting\choose_point_001_left_right_of_target.cs", "C#", 28, 0, 0, 0, 10, 38
